timestamp,totalMemory,totalCpuPercentage,processCount
2024-09-12T19:50:16.987Z,31436800,0.00,1
2024-09-12T19:50:17.994Z,31436800,0.00,1
2024-09-12T19:50:19.002Z,31436800,0.00,1
2024-09-12T19:50:20.008Z,31436800,1.98,1
2024-09-12T19:50:21.018Z,31436800,0.00,1
2024-09-12T19:50:22.026Z,31436800,0.00,1
2024-09-12T19:50:23.034Z,31436800,0.00,1
2024-09-12T19:50:24.040Z,31436800,1.00,1
2024-09-12T19:50:25.047Z,31436800,0.00,1
2024-09-12T19:50:26.055Z,31436800,0.00,1
2024-09-12T19:50:27.063Z,31436800,0.00,1
2024-09-12T19:50:28.071Z,31436800,0.00,1
2024-09-12T19:50:29.079Z,31436800,0.99,1
2024-09-12T19:50:30.086Z,31436800,0.00,1
2024-09-12T19:50:31.094Z,31436800,0.00,1
2024-09-12T19:50:32.102Z,31436800,0.00,1
2024-09-12T19:50:33.110Z,31436800,0.99,1
2024-09-12T19:50:34.118Z,43937792,19.80,1
2024-09-12T19:50:35.126Z,50425856,55.45,1
2024-09-12T19:50:36.136Z,91770880,88.12,1
2024-09-12T19:50:37.144Z,187187200,79.21,1
2024-09-12T19:50:38.154Z,156020736,118.81,1
2024-09-12T19:50:39.162Z,138219520,118.81,1
2024-09-12T19:50:40.175Z,154951680,117.82,1
2024-09-12T19:50:41.188Z,237088768,123.76,1
2024-09-12T19:50:42.198Z,332230656,53.47,1
2024-09-12T19:50:43.205Z,332496896,52.48,1
2024-09-12T19:50:44.213Z,338534400,104.00,1
2024-09-12T19:50:45.222Z,181166080,117.65,1
2024-09-12T19:50:46.241Z,191684608,116.83,1
2024-09-12T19:50:47.250Z,192671744,110.89,1
2024-09-12T19:50:48.261Z,199405568,111.88,1
2024-09-12T19:50:49.268Z,218427392,113.86,1
2024-09-12T19:50:50.277Z,357900288,65.35,1
2024-09-12T19:50:51.286Z,361955328,7.92,1
2024-09-12T19:50:52.293Z,357117952,49.50,1
2024-09-12T19:50:53.299Z,258801664,116.00,1
2024-09-12T19:50:54.306Z,197287936,115.84,1
2024-09-12T19:50:55.329Z,188907520,120.59,1
2024-09-12T19:50:56.343Z,193556480,116.67,1
2024-09-12T19:50:57.349Z,209223680,118.00,1
2024-09-12T19:50:58.357Z,212336640,115.84,1
2024-09-12T19:50:59.364Z,215117824,110.89,1
2024-09-12T19:51:00.387Z,242892800,111.76,1
2024-09-12T19:51:01.396Z,361832448,78.22,1
2024-09-12T19:51:02.405Z,362373120,2.97,1
2024-09-12T19:51:03.412Z,382783488,55.45,1
2024-09-12T19:51:04.419Z,373673984,4.00,1
2024-09-12T19:51:05.427Z,298438656,1.98,1
2024-09-12T19:51:06.434Z,298438656,0.00,1
2024-09-12T19:51:07.442Z,298438656,0.00,1
2024-09-12T19:51:08.447Z,298438656,0.99,1
2024-09-12T19:51:09.454Z,298438656,0.00,1
2024-09-12T19:51:10.462Z,298438656,0.00,1
2024-09-12T19:51:11.469Z,298438656,0.99,1
2024-09-12T19:51:12.476Z,298438656,0.00,1
2024-09-12T19:51:13.483Z,298438656,0.00,1
2024-09-12T19:51:14.491Z,298438656,1.00,1
2024-09-12T19:51:15.498Z,298438656,0.00,1
2024-09-12T19:51:16.507Z,298438656,0.99,1
2024-09-12T19:51:17.512Z,298438656,0.00,1
2024-09-12T19:51:18.520Z,298438656,0.00,1
2024-09-12T19:51:19.526Z,298438656,0.99,1
2024-09-12T19:51:20.535Z,298438656,0.00,1
2024-09-12T19:51:21.542Z,298438656,0.00,1
2024-09-12T19:51:22.549Z,298438656,0.99,1
2024-09-12T19:51:23.555Z,298438656,0.00,1
2024-09-12T19:51:24.562Z,298438656,1.00,1
2024-09-12T19:51:25.569Z,298438656,0.00,1
2024-09-12T19:51:26.576Z,298438656,0.99,1
2024-09-12T19:51:27.586Z,298438656,0.00,1
2024-09-12T19:51:28.595Z,298438656,0.99,1
2024-09-12T19:51:29.602Z,298438656,0.00,1
2024-09-12T19:51:30.610Z,298438656,0.00,1
2024-09-12T19:51:31.617Z,298438656,0.99,1
2024-09-12T19:51:32.626Z,298438656,0.00,1
2024-09-12T19:51:33.633Z,298438656,0.00,1
2024-09-12T19:51:34.642Z,298438656,1.00,1
2024-09-12T19:51:35.650Z,298438656,0.00,1
2024-09-12T19:51:36.658Z,298438656,0.99,1
2024-09-12T19:51:37.665Z,298438656,0.00,1
2024-09-12T19:51:38.675Z,298438656,0.00,1
2024-09-12T19:51:39.683Z,298438656,0.99,1
2024-09-12T19:51:40.690Z,298438656,0.00,1
2024-09-12T19:51:41.696Z,298438656,0.99,1
2024-09-12T19:51:42.706Z,298438656,0.00,1
2024-09-12T19:51:43.715Z,298438656,0.00,1
2024-09-12T19:51:44.723Z,298438656,1.00,1
2024-09-12T19:51:45.732Z,298438656,0.00,1
2024-09-12T19:51:46.738Z,298438656,0.99,1
2024-09-12T19:51:47.747Z,298438656,0.00,1
2024-09-12T19:51:48.756Z,298438656,0.00,1
